Score	AlignLen	totalMFE	seedMFE	totalGC	totalAT	totalGT	totalGaps	totalMismatches	seedGC	seedAT	seedGT	seedGaps	seedMismatches	Pos_1	Pos_2	Pos_3	Pos_4	Pos_5	Pos_6	Pos_7	Pos_8	Pos_9	Pos_10	Pos_11	Pos_12	Pos_13	Pos_14	Pos_15	Pos_16	Pos_17	Pos_18	Pos_19	Pos_20	Class
155.000000	17	-22.20	-17.90	5	8	1	2	4	3	4	0	0	0	5	2	2	1	2	1	2	1	4	4	2	1	2	1	3	2	5	2	5	5	Non-Target
150.000000	19	-22.30	-17.90	3	10	3	1	3	3	4	0	0	0	2	2	2	1	2	1	2	1	2	5	5	3	3	2	5	2	4	3	2	2	Non-Target
149.000000	14	-21.90	-17.90	3	9	3	1	4	3	4	0	0	0	3	2	2	1	2	1	2	1	2	5	2	3	4	2	2	5	5	3	5	2	Non-Target
144.000000	14	-20.60	-14.40	3	9	3	0	5	3	3	0	0	1	3	5	2	1	2	1	2	1	2	5	2	3	3	2	2	2	5	5	2	5	Non-Target
140.000000	7	-18.50	-17.90	5	6	0	0	9	3	4	0	0	0	5	2	2	1	2	1	2	1	5	5	5	5	1	2	5	5	5	1	2	5	Non-Target
149.000000	19	-29.70	-21.00	6	8	2	2	2	4	2	1	0	0	5	1	2	1	1	1	2	3	2	2	1	2	4	4	2	1	3	2	5	2	Non-Target
166.000000	19	-25.80	-16.00	4	12	1	1	2	2	5	0	0	0	2	2	2	2	2	1	2	1	4	2	5	5	1	3	2	2	2	2	2	1	Non-Target
166.000000	17	-26.00	-16.00	4	11	0	0	5	2	5	0	0	0	2	2	2	2	2	1	2	1	5	5	5	1	1	2	2	2	2	2	5	5	Non-Target
161.000000	20	-29.30	-16.00	5	11	1	2	1	2	4	1	0	0	5	2	2	3	2	1	2	1	2	4	1	2	1	1	2	2	2	2	4	2	Non-Target
158.000000	13	-27.70	-16.00	5	8	1	0	6	2	5	0	0	0	2	2	2	2	2	1	2	1	3	1	5	1	1	2	5	5	5	2	5	5	Non-Target
154.000000	13	-32.30	-16.00	5	8	1	0	6	2	4	1	0	0	2	2	2	3	2	1	2	1	2	1	2	1	1	2	5	5	5	5	5	5	Non-Target
152.000000	19	-16.90	-16.00	3	11	1	2	3	2	5	0	0	0	5	2	2	2	2	1	2	1	4	2	5	4	2	1	3	2	5	2	2	2	Non-Target
147.000000	16	-25.00	-16.00	5	8	1	1	5	2	4	1	0	0	5	2	2	3	2	1	2	1	2	4	1	2	1	1	2	5	2	5	5	5	Non-Target
144.000000	19	-21.70	-16.00	3	10	3	0	4	2	4	1	0	0	2	2	2	3	2	1	2	1	2	5	5	3	3	2	5	2	2	2	5	1	Non-Target
140.000000	7	-18.30	-16.00	3	6	0	0	11	2	5	0	0	0	5	2	2	2	2	1	2	1	5	5	5	5	1	5	2	5	5	5	5	5	Non-Target
140.000000	7	-18.70	-16.00	3	7	2	0	8	2	5	0	0	0	5	2	2	2	2	1	2	1	5	5	5	3	3	2	5	5	5	2	1	5	Non-Target
140.000000	17	-21.70	-16.00	2	10	3	1	4	2	4	1	0	0	3	2	2	3	2	1	2	1	2	5	2	3	4	2	2	5	2	2	5	5	Non-Target
166.000000	19	-25.80	-16.00	4	12	1	1	2	2	5	0	0	0	2	2	2	2	2	1	2	1	4	2	5	5	1	3	2	2	2	2	2	1	Non-Target
166.000000	17	-26.00	-16.00	4	11	0	0	5	2	5	0	0	0	2	2	2	2	2	1	2	1	5	5	5	1	1	2	2	2	2	2	5	5	Non-Target
161.000000	20	-29.30	-16.00	5	11	1	2	1	2	4	1	0	0	5	2	2	3	2	1	2	1	2	4	1	2	1	1	2	2	2	2	4	2	Non-Target
158.000000	13	-27.70	-16.00	5	8	1	0	6	2	5	0	0	0	2	2	2	2	2	1	2	1	3	1	5	1	1	2	5	5	5	2	5	5	Non-Target
154.000000	13	-32.30	-16.00	5	8	1	0	6	2	4	1	0	0	2	2	2	3	2	1	2	1	2	1	2	1	1	2	5	5	5	5	5	5	Non-Target
152.000000	19	-16.90	-16.00	3	11	1	2	3	2	5	0	0	0	5	2	2	2	2	1	2	1	4	2	5	4	2	1	3	2	5	2	2	2	Non-Target
147.000000	16	-25.00	-16.00	5	8	1	1	5	2	4	1	0	0	5	2	2	3	2	1	2	1	2	4	1	2	1	1	2	5	2	5	5	5	Non-Target
144.000000	19	-21.70	-16.00	3	10	3	0	4	2	4	1	0	0	2	2	2	3	2	1	2	1	2	5	5	3	3	2	5	2	2	2	5	1	Non-Target
140.000000	7	-18.30	-16.00	3	6	0	0	11	2	5	0	0	0	5	2	2	2	2	1	2	1	5	5	5	5	1	5	2	5	5	5	5	5	Non-Target
140.000000	7	-18.70	-16.00	3	7	2	0	8	2	5	0	0	0	5	2	2	2	2	1	2	1	5	5	5	3	3	2	5	5	5	2	1	5	Non-Target
140.000000	17	-21.70	-16.00	2	10	3	1	4	2	4	1	0	0	3	2	2	3	2	1	2	1	2	5	2	3	4	2	2	5	2	2	5	5	Non-Target
166.000000	17	-32.10	-20.90	7	7	2	0	4	4	3	0	0	0	2	1	2	1	1	2	2	1	2	5	1	1	2	3	3	5	1	2	5	5	Non-Target
147.000000	19	-28.70	-20.90	8	6	2	3	1	4	3	0	0	0	2	1	2	1	1	2	2	1	4	4	1	5	3	2	1	4	1	2	1	3	Non-Target
151.000000	18	-14.60	-14.60	3	9	1	0	7	1	6	0	0	0	5	2	2	2	2	1	2	2	5	5	2	2	5	5	3	1	1	5	2	5	Non-Target
149.000000	21	-22.70	-14.60	6	8	1	3	2	1	5	1	0	0	5	2	2	3	2	1	2	2	5	1	2	4	1	2	1	1	4	4	1	2	Non-Target
140.000000	7	-12.00	-14.60	2	7	0	0	11	1	6	0	0	0	5	2	2	2	2	1	2	2	5	5	5	2	5	5	5	5	1	5	5	5	Non-Target
162.000000	19	-26.60	-19.00	5	10	2	1	2	3	4	0	0	0	2	1	1	2	2	2	1	2	2	5	2	1	5	4	1	3	2	2	3	2	Non-Target
142.000000	13	-26.60	-18.60	7	4	1	0	8	3	4	0	0	0	1	1	2	1	2	2	1	2	5	5	5	1	1	3	5	5	5	5	5	1	Target
148.000000	11	-29.50	-19.30	6	4	4	0	6	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	1	1	5	3	5	5	3	3	5	5	Target
157.000000	16	-27.70	-19.30	6	7	2	0	5	4	3	0	0	0	3	2	2	1	1	1	2	1	5	5	3	5	2	1	2	2	2	5	5	1	Target
148.000000	17	-23.80	-19.30	4	8	3	1	4	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	3	5	2	3	4	2	2	2	5	5	Target
152.000000	18	-25.20	-19.30	6	7	2	2	3	4	3	0	0	0	3	2	2	1	1	1	2	1	3	4	4	1	5	1	2	5	2	2	2	5	Target
144.000000	11	-21.50	-19.30	7	3	1	0	9	4	3	0	0	0	5	2	2	1	1	1	2	1	5	5	1	1	5	3	5	5	5	1	5	5	Target
140.000000	7	-24.40	-19.30	5	4	1	0	10	4	3	0	0	0	2	2	2	1	1	1	2	1	5	5	1	3	5	5	5	5	5	5	5	5	Target
150.000000	13	-23.60	-19.30	7	4	3	0	6	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	5	1	2	1	5	5	3	3	5	1	Target
143.000000	18	-23.10	-19.30	5	8	2	2	3	4	3	0	0	0	2	2	2	1	1	1	2	1	5	1	5	4	2	3	2	4	2	2	3	5	Target
145.000000	14	-26.30	-19.30	5	6	3	1	5	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	3	4	2	1	2	5	3	5	5	5	Target
155.000000	16	-26.70	-19.30	7	5	2	1	5	4	3	0	0	0	5	2	2	1	1	1	2	1	3	4	1	1	5	3	1	2	2	5	5	5	Target
155.000000	14	-30.20	-19.30	6	5	3	0	6	4	3	0	0	0	3	2	2	1	1	1	2	1	3	5	1	1	2	5	2	5	3	5	5	5	Target
148.000000	19	-25.70	-19.30	9	4	3	2	2	4	3	0	0	0	3	2	2	1	1	1	2	1	4	1	1	4	1	1	5	1	5	2	3	3	Target
146.000000	13	-28.60	-19.30	8	4	2	0	6	4	3	0	0	0	3	2	2	1	1	1	2	1	1	5	5	5	2	1	5	5	3	5	1	1	Target
141.000000	8	-24.30	-19.30	5	3	5	0	7	4	3	0	0	0	3	2	2	1	1	1	2	1	3	5	3	3	5	5	5	5	3	5	1	5	Target
153.000000	18	-22.30	-19.30	7	6	1	1	5	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	5	1	5	5	3	2	2	2	1	5	Target
145.000000	8	-22.30	-19.30	5	4	2	0	9	4	3	0	0	0	5	2	2	1	1	1	2	1	1	5	5	5	3	5	5	2	5	3	5	5	Target
142.000000	13	-24.90	-19.30	5	5	1	0	9	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	5	5	2	1	5	5	5	5	5	5	Target
144.000000	11	-20.50	-19.00	5	5	2	0	8	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	2	1	5	5	5	5	5	3	1	3	Target
149.000000	21	-25.64	-19.30	7	6	0	4	3	4	3	0	0	0	5	2	2	1	1	1	2	1	1	4	4	4	4	1	5	5	2	1	2	2	Target
145.000000	21	-17.60	-18.60	5	6	3	3	3	3	4	0	0	0	5	1	2	1	2	2	1	2	4	4	1	2	3	5	4	3	3	2	5	1	Target
156.000000	17	-22.80	-19.30	6	6	3	1	4	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	3	1	5	3	2	2	2	3	5	5	Target
147.000000	17	-21.40	-19.30	5	7	1	2	5	4	3	0	0	0	5	2	2	1	1	1	2	1	5	4	4	3	2	5	2	2	2	1	5	5	Target
140.000000	7	-18.40	-19.30	6	3	1	0	10	4	3	0	0	0	5	2	2	1	1	1	2	1	5	5	5	3	5	1	5	5	5	1	5	5	Target
144.000000	17	-23.30	-19.30	5	7	2	1	5	4	3	0	0	0	2	2	2	1	1	1	2	1	5	5	1	3	5	3	2	4	2	2	5	5	Target
140.000000	7	-22.90	-19.30	4	4	1	0	11	4	3	0	0	0	2	2	2	1	1	1	2	1	5	5	5	5	3	5	5	5	5	5	5	5	Target
149.000000	20	-20.64	-18.60	6	7	1	2	4	3	4	0	0	0	5	1	2	1	2	2	1	2	5	4	2	3	1	5	4	2	1	1	2	5	Target
147.000000	17	-25.30	-19.30	4	8	3	2	3	4	3	0	0	0	2	2	2	1	1	1	2	1	3	4	4	3	2	5	2	2	2	3	5	5	Target
145.000000	16	-25.50	-19.30	4	6	4	0	6	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	3	3	5	5	2	2	3	5	5	5	Target
141.000000	10	-19.60	-19.30	7	4	1	1	7	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	1	5	5	3	5	5	2	5	1	5	Target
144.000000	19	-19.40	-19.30	7	6	1	2	4	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	5	3	5	2	1	5	4	2	2	1	Target
142.000000	17	-19.70	-19.30	6	5	3	2	4	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	1	5	4	3	3	2	2	3	5	5	Target
154.000000	17	-22.30	-19.30	5	6	3	0	6	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	5	1	5	3	2	2	2	3	5	5	Target
160.000000	18	-26.70	-19.30	7	8	1	2	2	4	3	0	0	0	2	2	2	1	1	1	2	1	4	4	1	1	5	3	2	1	2	2	2	5	Target
150.000000	18	-26.70	-19.30	8	6	1	3	2	4	3	0	0	0	3	2	2	1	1	1	2	1	4	1	5	1	1	2	4	4	2	2	1	5	Target
157.000000	16	-25.20	-19.00	4	9	2	0	5	3	4	0	0	0	2	1	1	2	2	2	1	2	5	5	2	3	2	2	1	5	2	5	3	5	Target
148.000000	17	-22.10	-19.30	5	7	3	1	4	4	3	0	0	0	2	2	2	1	1	1	2	1	4	1	5	3	3	2	5	2	2	3	5	5	Target
150.000000	13	-28.10	-19.30	8	5	1	0	6	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	5	1	2	1	5	5	5	1	5	1	Target
145.000000	21	-24.70	-19.30	8	4	0	4	4	4	3	0	0	0	5	2	2	1	1	1	2	1	4	4	4	4	1	5	1	1	2	1	5	5	Target
144.000000	11	-27.40	-19.30	6	4	4	0	6	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	1	3	5	5	5	5	3	3	5	1	Target
143.000000	19	-20.90	-19.30	8	5	1	3	3	4	3	0	0	0	5	2	2	1	1	1	2	1	5	1	4	4	1	1	3	4	2	5	2	1	Target
159.000000	20	-23.40	-18.60	7	6	2	1	4	3	4	0	0	0	5	1	2	1	2	2	1	2	4	1	2	1	5	3	1	5	1	5	3	2	Target
150.000000	20	-27.20	-18.60	7	6	2	2	3	3	4	0	0	0	1	1	2	1	2	2	1	2	1	5	3	5	4	4	1	3	2	5	1	2	Target
145.000000	8	-19.30	-18.60	4	6	3	0	7	3	4	0	0	0	5	1	2	1	2	2	1	2	1	5	3	5	3	5	5	5	5	2	2	3	Target
141.000000	10	-28.10	-19.30	6	4	1	1	8	4	3	0	0	0	2	2	2	1	1	1	2	1	4	1	1	5	5	5	5	5	5	5	3	5	Target
140.000000	7	-22.10	-19.30	4	4	1	0	11	4	3	0	0	0	5	2	2	1	1	1	2	1	5	5	5	5	5	5	5	5	2	3	5	5	Target
152.000000	15	-29.00	-19.30	6	5	4	0	5	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	1	3	3	1	5	2	5	3	5	5	Target
150.000000	24	-28.20	-18.60	6	6	1	5	2	3	4	0	0	0	5	1	2	1	2	2	1	2	1	4	4	4	4	2	1	1	3	5	4	2	Target
148.000000	17	-23.80	-19.30	5	6	4	1	4	4	3	0	0	0	3	2	2	1	1	1	2	1	3	5	4	3	1	5	3	2	2	2	5	5	Target
146.000000	15	-20.50	-19.30	6	5	2	1	6	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	1	5	3	2	5	2	5	5	3	5	Target
140.000000	7	-23.40	-19.30	6	5	4	0	5	4	3	0	0	0	2	2	2	1	1	1	2	1	5	5	3	5	3	3	2	5	3	5	1	1	Target
140.000000	7	-21.10	-19.00	4	6	1	0	9	3	4	0	0	0	2	1	1	2	2	2	1	2	5	5	2	5	5	5	5	3	5	5	1	5	Target
140.000000	7	-16.50	-19.00	3	5	1	0	11	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	5	5	5	5	3	5	5	5	5	2	Target
151.000000	20	-20.00	-18.60	6	7	0	1	6	3	4	0	0	0	5	1	2	1	2	2	1	2	1	5	5	5	1	5	2	5	1	2	4	2	Target
149.000000	14	-23.00	-19.30	7	4	2	1	6	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	3	1	5	1	2	5	3	5	5	5	Target
140.000000	7	-15.50	-18.60	3	4	3	0	10	3	4	0	0	0	5	1	2	1	2	2	1	2	5	5	3	5	5	3	5	5	5	5	5	3	Target
145.000000	21	-30.70	-19.30	6	6	2	4	2	4	3	0	0	0	2	2	2	1	1	1	2	1	4	4	4	4	3	1	3	1	2	5	2	5	Target
142.000000	17	-25.00	-19.30	6	6	2	0	6	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	3	5	2	5	5	5	2	1	5	1	Target
155.000000	14	-28.00	-19.30	7	5	2	0	6	4	3	0	0	0	3	2	2	1	1	1	2	1	3	5	1	5	2	1	2	5	5	1	5	5	Target
143.000000	17	-22.70	-19.30	5	6	3	2	4	4	3	0	0	0	3	2	2	1	1	1	2	1	5	5	1	3	4	4	2	2	2	3	5	5	Target
145.000000	14	-25.00	-19.30	6	5	3	1	5	4	3	0	0	0	3	2	2	1	1	1	2	1	5	4	1	3	1	2	3	5	5	2	5	5	Target
144.000000	13	-22.60	-19.30	5	4	3	1	7	4	3	0	0	0	5	2	2	1	1	1	2	1	3	4	1	3	3	2	5	5	5	5	5	5	Target
146.000000	21	-28.80	-18.60	8	6	1	2	3	3	4	0	0	0	1	1	2	1	2	2	1	2	5	5	4	1	5	1	3	4	2	1	1	2	Target
140.000000	7	-16.80	-18.60	4	5	1	0	10	3	4	0	0	0	5	1	2	1	2	2	1	2	5	5	1	5	5	5	5	5	5	2	5	3	Target
146.000000	19	-20.00	-18.60	7	5	2	1	5	3	4	0	0	0	5	1	2	1	2	2	1	2	5	4	1	1	5	5	5	1	1	3	2	3	Target
156.000000	17	-24.70	-19.30	7	6	3	1	3	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	1	4	2	1	2	2	3	3	1	5	Target
145.000000	12	-21.60	-19.30	5	5	2	0	8	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	5	1	2	5	5	2	3	5	5	5	Target
147.000000	12	-24.00	-19.30	6	4	2	1	7	4	3	0	0	0	5	2	2	1	1	1	2	1	3	4	1	1	2	5	5	5	5	3	5	5	Target
154.000000	16	-28.50	-19.30	8	7	0	2	3	4	3	0	0	0	2	2	2	1	1	1	2	1	1	4	4	1	2	1	5	2	2	5	1	5	Target
153.000000	18	-22.50	-19.30	8	5	1	1	5	4	3	0	0	0	5	2	2	1	1	1	2	1	3	4	1	5	1	5	1	2	2	5	1	5	Target
145.000000	8	-30.20	-19.30	6	5	2	0	7	4	3	0	0	0	2	2	2	1	1	1	2	1	1	5	3	5	2	5	5	5	3	5	1	5	Target
146.000000	9	-29.30	-19.30	7	5	1	0	7	4	3	0	0	0	2	2	2	1	1	1	2	1	3	1	5	5	5	1	5	5	2	1	5	5	Target
158.000000	13	-23.30	-19.00	3	9	3	0	5	3	4	0	0	0	2	1	1	2	2	2	1	2	2	5	2	3	2	2	5	3	5	5	3	5	Target
155.000000	18	-20.40	-19.00	6	7	0	0	7	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	5	1	2	2	1	5	5	2	1	5	Target
145.000000	8	-18.80	-19.00	5	6	2	0	7	3	4	0	0	0	5	1	1	2	2	2	1	2	2	5	5	5	5	5	1	3	2	5	1	3	Target
170.000000	17	-34.30	-19.30	8	7	1	0	4	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	1	1	5	1	2	2	2	1	5	5	Target
148.000000	17	-23.40	-19.30	7	5	3	1	4	4	3	0	0	0	5	2	2	1	1	1	2	1	1	4	3	3	3	5	2	5	2	1	1	5	Target
142.000000	13	-22.60	-19.30	5	4	3	0	8	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	5	3	2	3	5	5	5	5	1	5	Target
142.000000	13	-23.70	-19.30	4	4	4	0	8	4	3	0	0	0	3	2	2	1	1	1	2	1	5	5	3	3	2	3	5	5	5	5	5	5	Target
140.000000	7	-17.90	-18.60	3	4	2	0	11	3	4	0	0	0	5	1	2	1	2	2	1	2	5	5	5	5	5	5	5	5	5	5	3	3	Target
147.000000	18	-21.30	-18.60	7	6	0	3	4	3	4	0	0	0	5	1	2	1	2	2	1	2	5	5	1	1	4	4	4	1	1	2	2	5	Target
145.000000	19	-18.90	-18.60	6	7	0	2	5	3	4	0	0	0	5	1	2	1	2	2	1	2	5	4	4	2	1	5	1	5	2	5	1	2	Target
149.000000	18	-22.10	-19.30	9	4	0	1	6	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	5	1	1	5	1	5	5	2	1	5	Target
148.000000	17	-20.90	-19.30	7	5	1	1	6	4	3	0	0	0	5	2	2	1	1	1	2	1	5	5	1	1	4	3	2	2	5	1	5	5	Target
142.000000	13	-25.10	-19.30	6	5	1	0	8	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	5	1	5	1	5	5	2	5	5	5	Target
164.000000	19	-24.30	-18.60	6	7	3	0	4	3	4	0	0	0	5	1	2	1	2	2	1	2	5	2	5	5	1	3	2	1	1	2	3	3	Target
146.000000	11	-22.60	-18.60	7	4	0	1	8	3	4	0	0	0	5	1	2	1	2	2	1	2	1	4	1	1	5	5	5	5	5	5	5	1	Target
140.000000	7	-22.10	-19.30	4	6	2	0	8	4	3	0	0	0	2	2	2	1	1	1	2	1	5	5	5	3	5	3	5	2	2	5	5	5	Target
159.000000	17	-29.80	-19.30	7	8	2	2	1	4	3	0	0	0	2	2	2	1	1	1	2	1	3	4	4	1	2	1	2	2	2	3	5	1	Target
148.000000	15	-24.10	-19.30	6	6	1	0	7	4	3	0	0	0	3	2	2	1	1	1	2	1	5	5	1	5	2	5	2	2	5	5	1	5	Target
153.000000	14	-29.40	-19.30	8	4	2	1	5	4	3	0	0	0	3	2	2	1	1	1	2	1	5	1	4	1	1	2	1	5	5	5	3	5	Target
150.000000	13	-23.70	-19.30	9	3	1	0	7	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	1	1	5	1	5	5	5	1	1	5	Target
161.000000	18	-23.30	-19.00	4	10	1	1	4	3	4	0	0	0	5	1	1	2	2	2	1	2	2	5	5	4	2	2	1	2	2	2	3	5	Target
144.000000	16	-23.10	-19.30	7	7	0	4	2	4	3	0	0	0	5	2	2	1	1	1	2	1	4	4	4	4	2	1	2	2	2	5	1	1	Target
